Timestamp,CPU_Cores,Memory_MB,Swap_MB
2026-03-03 07:08:38,1.95,844.93,0.00
2026-03-03 07:08:39,2.00,1135.13,0.00
2026-03-03 07:08:40,1.94,1382.21,0.00
2026-03-03 07:08:41,1.89,1725.14,0.00
2026-03-03 07:08:42,1.77,2089.56,0.00
2026-03-03 07:08:43,1.67,2441.12,0.00
2026-03-03 07:08:44,1.88,2607.76,0.00
2026-03-03 07:08:45,1.68,2784.82,0.00
2026-03-03 07:08:46,1.84,2932.99,0.00
2026-03-03 07:08:47,1.92,2996.29,0.00
2026-03-03 07:08:48,2.01,3044.93,0.00
2026-03-03 07:08:49,1.99,3108.94,0.00
2026-03-03 07:08:50,1.90,3167.77,0.00
2026-03-03 07:08:51,1.80,3241.06,0.00
2026-03-03 07:08:52,1.66,3299.13,0.00
2026-03-03 07:08:53,1.83,3349.88,0.00
2026-03-03 07:08:54,1.87,3414.62,0.00
2026-03-03 07:08:55,2.00,3418.52,0.00
2026-03-03 07:08:56,1.90,3400.56,0.00
2026-03-03 07:08:57,1.64,3410.15,0.00
2026-03-03 07:08:58,1.55,3455.37,0.00
2026-03-03 07:08:59,1.59,3503.25,0.00
2026-03-03 07:09:00,1.56,3572.38,0.00
2026-03-03 07:09:01,1.40,3641.96,0.00
2026-03-03 07:09:02,1.49,3701.66,0.00
2026-03-03 07:09:03,1.52,3768.28,0.00
2026-03-03 07:09:04,1.51,3826.23,0.00
2026-03-03 07:09:05,1.46,3900.08,0.00
2026-03-03 07:09:06,1.63,4002.64,0.00
